"ID"	"Link"	"Alias"	"Lang"	"Primary"	"FileVersion"
437	1673	"Lamb ragout with sauce, prepared"	"E"	1	200
438	5	"Lamb (sheep), cutlet, raw (Switzerland)"	"E"	1	200
439	13273	"lamb (sheep), filet, pan fried medium (without addition of fat and salt)"	"E"	1	200
440	675	"Lamb (sheep), filet, raw"	"E"	1	200
441	17	"Lamb (sheep), filet, raw (Australia, New Zealand)"	"E"	1	200
442	4	"Lamb (sheep), leg, raw (Switzerland, New Zealand)"	"E"	1	200
443	18	"Lamb (sheep), racks, raw (Australia, New Zealand)"	"E"	1	200
444	372	"Lamb's lettuce, raw"	"E"	1	200
445	1090	"Landjäger sausage"	"E"	1	200
446	1184	"Latte macchiato, no sugar added"	"E"	1	200
447	1127	"Leafy salad (average), raw"	"E"	1	200
448	1164	"Leafy vegetables (average excluding salads), boiled (without addition of salt and fat)"	"E"	1	200
449	1165	"Leafy vegetables (average excluding salads), steamed (without addition of salt)"	"E"	1	200
450	1166	"Leafy vegetables (average excluding salads), stewed (without addition of salt and fat)"	"E"	1	200
451	880	"Lebkuchen"	"E"	1	200
452	993	"Lebkuchen, chocolate covered"	"E"	1	200
453	358	"Leek, raw"	"E"	1	200
454	1015	"Leek, stewed (without addition of fat and salt)"	"E"	1	200
455	1134	"Legumes/Pulses (average), cooked (without addition of fat and salt)"	"E"	1	200
456	1133	"Legumes/Pulses, (average) dried"	"E"	1	200
457	10534	"Lemon Curd"	"E"	1	200
458	398	"Lemon, fresh"	"E"	1	200
459	605	"Lemon juice"	"E"	1	200
460	13386	"Lentil, split, cooked (without addition of fat and salt)"	"E"	1	200
461	13385	"Lentil, split, dried"	"E"	1	200
462	1060	"Lentil, whole, cooked (without addition of fat and salt)"	"E"	1	200
463	370	"Lentil, whole, dried"	"E"	1	200
464	531	"Limburger (Münster) cheese"	"E"	1	200
465	277	"Linseed"	"E"	1	200
466	900	"Linzertorte (Pastry base covered with raspberry sweetmeat)"	"E"	1	200
467	13320	"Liver (average of beef, veal, pork), pan fried (without addition of fat and salt)"	"E"	1	200
468	10377	"Liver (average of beef, veal, pork), raw"	"E"	1	200
469	776	"Liver sausage"	"E"	1	200
470	786	"Luganighe"	"E"	1	200
471	1084	"Luncheon meat"	"E"	1	200
472	832	"Lye roll"	"E"	1	200
473	1083	"Lyoner sausage"	"E"	1	200
474	1083	"Bologna sausage"	"E"	0	200
475	1092	"Lyoner sausage (poultry)"	"E"	1	200
476	1092	"Bologna sausage (poultry)"	"E"	0	200
477	1478	"Macaroni from the alps, prepared"	"E"	1	200
478	878	"Madeleine biscuit"	"E"	1	200
479	426	"Maize starch"	"E"	1	200
480	397	"Mandarin, fresh"	"E"	1	200
481	396	"Mango, fresh"	"E"	1	200
482	898	"Marble cake"	"E"	1	200
483	208	"Margarine"	"E"	1	200
484	496	"Marzipan"	"E"	1	200
485	866	"Mashed potatoes, instant, prepared (with water and butter)"	"E"	1	200
486	1519	"Mashed potatoes, prepared (with cream and butter)"	"E"	1	200
487	863	"Mashed potatoes, prepared (with full fat milk and butter)"	"E"	1	200
